Date,Location,Province,Start Time (UTC),Start Link (CAP File),End Time (UTC),End Link (CAP File),Warned Polygon (GeoJSON File)
26/07/01,Westport - Charleston Lake,ON,23:42,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/07/01/start-Westport-CharlestonLake-234237.cap,00:01,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/07/01/end-Westport-CharlestonLake-234237.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/07/01/Westport-CharlestonLake-234237.geojson
26/07/01,Gananoque - Mallorytown,ON,23:42,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/07/01/start-Gananoque-Mallorytown-234237.cap,00:01,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/07/01/end-Gananoque-Mallorytown-234237.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/07/01/Gananoque-Mallorytown-234237.geojson
26/07/02,Morrisburg - Long Sault,ON,19:57,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/07/02/start-Morrisburg-LongSault-195746.cap,20:20,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/07/02/end-Morrisburg-LongSault-195746.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/07/02/Morrisburg-LongSault-195746.geojson
26/07/02,Winchester - Newington,ON,19:59,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/07/02/start-Winchester-Newington-195931.cap,20:08,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/07/02/end-Winchester-Newington-195931.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/07/02/Winchester-Newington-195931.geojson
26/07/02,Prescott to Cornwall,ON,20:00,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/07/02/start-PrescotttoCornwall-200054.cap,20:25,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/07/02/end-PrescotttoCornwall-200054.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/07/02/PrescotttoCornwall-200054.geojson
26/07/02,R.M. of Pleasant Valley including McGee and Fiske,SK,22:56,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/07/02/start-R.M.ofPleasantValleyincludingMcGeeandFiske-225633.cap,23:31,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/07/02/end-R.M.ofPleasantValleyincludingMcGeeandFiske-225633.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/07/02/R.M.ofPleasantValleyincludingMcGeeandFiske-225633.geojson
26/07/02,R.M. of Eye Hill including Macklin Denzil and Evesham,SK,23:37,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/07/02/start-R.M.ofEyeHillincludingMacklinDenzilandEvesham-233757.cap,01:04,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/07/02/end-R.M.ofEyeHillincludingMacklinDenzilandEvesham-233757.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/07/02/R.M.ofEyeHillincludingMacklinDenzilandEvesham-233757.geojson
26/07/02,R.M. of Grass Lake including Salvador and Reward,SK,23:37,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/07/02/start-R.M.ofGrassLakeincludingSalvadorandReward-233757.cap,01:36,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/07/02/end-R.M.ofGrassLakeincludingSalvadorandReward-233757.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/07/02/R.M.ofGrassLakeincludingSalvadorandReward-233757.geojson
26/07/03,R.M. of Fertile Valley including Conquest Macrorie and Bounty,SK,21:42,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/07/03/start-R.M.ofFertileValleyincludingConquestMacrorieandBounty-214230.cap,22:05,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/07/03/end-R.M.ofFertileValleyincludingConquestMacrorieandBounty-214230.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/07/03/R.M.ofFertileValleyincludingConquestMacrorieandBounty-214230.geojson
26/07/03,R.M. of Rudy including Outlook and Glenside,SK,21:42,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/07/03/start-R.M.ofRudyincludingOutlookandGlenside-214230.cap,22:05,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/07/03/end-R.M.ofRudyincludingOutlookandGlenside-214230.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/07/03/R.M.ofRudyincludingOutlookandGlenside-214230.geojson
