Date,Relative Location,Storm Geometry,Storm Motion,Prov,Start Time (UTC),Start Link (CAP File),End Time (UTC),End Link (CAP File),Warned Polygon (GeoJSON File)
26/08/12,over Brigden,ISOLATED_CELL,southeast at 25 km/h,ON,23:07,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/12/start-overBrigden-ON-230741.cap,23:13,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/12/end-overBrigden-ON-230741.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/08/12/overBrigden-ON-230741.geojson
26/08/12,over Brigden,ISOLATED_CELL,southeast at 25 km/h,ON,23:13,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/12/start-overBrigden-ON-231358.cap,23:25,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/12/end-overBrigden-ON-231358.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/08/12/overBrigden-ON-231358.geojson
